row_number,name,category,size_or_spec,image_ref,confidence,review_status,warning_codes,source_page,source_excerpt
1,"Cut-resistant shop gloves",safety,"S/M/L mixed carton, 24 pair",images/cut-resistant-gloves.png,0.68,needs_human_review,AMBIGUOUS_SPEC;SOURCE_NOTE_REQUIRES_REVIEW;LOW_CONFIDENCE,1,"LC-101 | Cut-resistant shop gloves | safety | S/M/L mixed carton, 24 pair | images/cut-resistant-gloves.png | material=aramid knit; pack=24 pair; note=size ratio unclear"
2,"Floor marking tape starter set",paint-labeling,"6 rolls, 48 mm x about 25 m",floor-tape-set.png,0.68,needs_human_review,AMBIGUOUS_SPEC;SOURCE_NOTE_REQUIRES_REVIEW;MALFORMED_IMAGE_REF;LOW_CONFIDENCE,1,"LC-102 | Floor marking tape starter set | paint labeling | 6 rolls, 48 mm x about 25 m | floor-tape-set.png | color=yellow/black; adhesive=low residue; note=roll length estimated"
3,"Deep parts tray with dividers",storage,"approx 14 in x 9 in, 12 dividers",images/deep-parts-tray.png,0.68,needs_human_review,AMBIGUOUS_SPEC;SOURCE_NOTE_REQUIRES_REVIEW;LOW_CONFIDENCE,1,"LC-103 | Deep parts tray with dividers | storage bins | approx 14 in x 9 in, 12 dividers | images/deep-parts-tray.png | material=recycled plastic; note=divider count handwritten"
4,"Bolt label refill cards",paint-labeling,"120 cards; see chart C-2 for adhesive",images/bolt-labels.png,0.7,needs_human_review,AMBIGUOUS_SPEC;CROSS_PAGE_REFERENCE;LOW_CONFIDENCE,1,"LC-104 | Bolt label refill cards | paint labeling | 120 cards; see chart C-2 for adhesive | images/bolt-labels.png | chart_ref=C-2; note=adhesive family continued on next page"
5,"Solvent-safe cleaning sprayer",cleaning,"capacity unknown, nominal 1 liter",images/cleaning-sprayer.png,0.68,needs_human_review,AMBIGUOUS_SPEC;SOURCE_NOTE_REQUIRES_REVIEW;LOW_CONFIDENCE,1,"LC-105 | Solvent-safe cleaning sprayer | cleaning | capacity unknown, nominal 1 liter | images/cleaning-sprayer.png | material=HDPE; note=capacity cell smudged"
6,"Cut-resistant shop gloves",safety,"large carton, 24 pair",images/cut-resistant-gloves-large.png,0.9,needs_human_review,POSSIBLE_DUPLICATE,1,"LC-106 | Cut-resistant shop gloves | safety | large carton, 24 pair | images/cut-resistant-gloves-large.png | material=aramid knit; pack=24 pair"
7,"Torque driver micro set",hand-tools,"0.4-2.0 Nm; calibration due unknown",images/torque-driver-micro-set.png,0.68,needs_human_review,AMBIGUOUS_SPEC;SOURCE_NOTE_REQUIRES_REVIEW;LOW_CONFIDENCE,1,"LC-107 | Torque driver micro set | hand tools | 0.4-2.0 Nm; calibration due unknown | images/torque-driver-micro-set.png | range=0.4-2.0Nm; note=calibration date cropped"
8,"Mixed fastener service tray",fasteners,"assorted M3-M6; about 240 pieces","images/fasteners tray.png",0.68,needs_human_review,AMBIGUOUS_SPEC;SOURCE_NOTE_REQUIRES_REVIEW;MALFORMED_IMAGE_REF;LOW_CONFIDENCE,1,"LC-108 | Mixed fastener service tray | fasteners | assorted M3-M6; about 240 pieces | images/fasteners tray.png | thread=pitch unclear; note=bin labels partially shadowed"
9,"Spill pad refill pack",safety,"100 pads, approx 15 in x 19 in",images/spill-pad-refill.png,0.68,needs_human_review,AMBIGUOUS_SPEC;SOURCE_NOTE_REQUIRES_REVIEW;LOW_CONFIDENCE,1,"LC-109 | Spill pad refill pack | safety | 100 pads, approx 15 in x 19 in | images/spill-pad-refill.png | absorbency=oil-only; note=dimension rounded"
10,"Label printer starter kit",paint-labeling,"model W-12? includes 2 tapes",images/label-printer-kit.png,0.82,needs_human_review,SOURCE_NOTE_REQUIRES_REVIEW,2,"LC-110 | Label printer starter kit | paint labeling | model W-12? includes 2 tapes | images/label-printer-kit.png | power=USB; note=model suffix cropped"
11,"Broom head bundle",cleaning,"12 heads, mixed bristle colors",images/broom-head-bundle.png,0.76,needs_human_review,AMBIGUOUS_SPEC,2,"LC-111 | Broom head bundle | cleaning | 12 heads, mixed bristle colors | images/broom-head-bundle.png | handle=not included; note=color mix varies"
12,"Clear bin tower kit",storage,"see matrix page E-2 for bin sizes",images/clear-bin-tower-kit.png,0.7,needs_human_review,AMBIGUOUS_SPEC;CROSS_PAGE_REFERENCE;LOW_CONFIDENCE,2,"LC-112 | Clear bin tower kit | storage | see matrix page E-2 for bin sizes | images/clear-bin-tower-kit.png | variant_source=matrix E-2; note=dimensions split across matrix"
